business_name,category,latitude,longitude,healthcare_1km,education_1km,commercial_1km,financial_1km,transport_1km,business_activity_1km,total_demand_signals,competitor_count_1km,hotel_competitors_1km,restaurant_competitors_1km,cafe_competitors_1km,fast_food_competitors_1km,business_density_1km,demand_score,competition_pressure,competition_score,direct_competition_pressure,direct_competition_score,density_pressure,density_score,opportunity_score,opportunity_category,opportunity_rank
sadhana tiffin stall,hotel,10.9405458,78.0911902,5,0,3,3,0,0,11,0,0,0,0,0,0,14.444444444444443,0.0,100.0,0.0,100.0,0.0,100.0,65.77777777777777,Moderate Opportunity,1
HOTEL KARUPPANNA,restaurant,11.0518609,77.9241658,0,1,5,1,0,0,7,0,0,0,0,0,0,13.518518518518519,0.0,100.0,0.0,100.0,0.0,100.0,65.4074074074074,Moderate Opportunity,2
Archana Hotel,hotel,10.961041,78.0859736,14,3,3,1,5,1,27,2,1,0,0,1,2,46.194444444444436,20.0,80.0,27.77777777777778,72.22222222222223,20.0,80.0,64.92222222222222,Moderate Opportunity,3
Makkal Unavagam,restaurant,10.8519789,77.8472216,2,0,2,2,1,0,7,0,0,0,0,0,0,11.268518518518519,0.0,100.0,0.0,100.0,0.0,100.0,64.50740740740741,Moderate Opportunity,4
Madhura Mess,fast_food,10.960216,78.0787331,41,3,12,1,7,2,66,6,5,1,0,0,6,76.02777777777777,60.0,40.0,26.38888888888889,73.61111111111111,60.0,40.0,61.13333333333333,Moderate Opportunity,5
Hotel Hemala,hotel,10.9611393,78.0827623,30,3,8,1,8,1,51,4,2,1,0,1,4,62.40740740740741,40.0,60.0,43.05555555555556,56.94444444444444,40.0,60.0,60.35185185185185,Moderate Opportunity,6
Tandoori Tribes,restaurant,10.9474655,78.1040419,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.0,100.0,0.0,100.0,0.0,100.0,60.13333333333333,Moderate Opportunity,7
Adyar Ananda Bhavan,restaurant,10.9594305,78.0764812,50,2,13,1,4,2,72,5,4,0,0,1,5,68.14814814814814,50.0,50.0,36.111111111111114,63.888888888888886,50.0,50.0,60.03703703703703,Moderate Opportunity,8
Hotel Jai Krishna,restaurant,10.6991807,77.9324029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,60.0,Moderate Opportunity,9
ஹோட்டல் அக்ஷயா வெஜ்,restaurant,10.7758778,77.9192604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,60.0,Moderate Opportunity,9
