business_name,category,latitude,longitude,education_1km,healthcare_1km,shops_1km,banks_atms_1km,transport_1km,offices_1km,total_demand_signals
The Residency,hotel,10.9612502,78.0642685,0,24,12,3,0,2,41
Hotel Ammaiiyappar,restaurant,10.9244594,78.0483319,0,0,0,0,0,0,0
Makkal Unavagam,restaurant,10.8519789,77.8472216,0,1,2,2,1,0,6
Hotel Jai Krishna,restaurant,10.6991807,77.9324029,0,0,0,0,0,0,0
HOTEL KARUPPANNA,restaurant,11.0518609,77.9241658,0,0,5,1,0,0,6
Archana Hotel,hotel,10.961041,78.0859736,0,14,3,1,5,1,24
Madhura Mess,fast_food,10.960216,78.0787331,0,41,12,1,7,2,63
Adyar Ananda Bhavan,restaurant,10.9594305,78.0764812,0,50,13,1,4,2,70
Hotel SSS,restaurant,10.9291561,78.055229,0,0,0,0,0,0,0
Annai Mess,restaurant,10.9288941,78.0547191,0,0,0,0,0,0,0
Hotel Hemala,hotel,10.9611393,78.0827623,0,30,8,1,8,1,48
muthu mess,hotel,10.9626193,78.0614777,0,20,9,2,0,1,32
junior kuppanna,hotel,10.9549813,78.0598726,0,7,7,2,0,1,17
karthick mess,hotel,10.9508614,78.058939,0,0,2,1,0,0,3
dindigul velu briyani,hotel,10.9611864,78.0667735,0,36,15,2,3,2,58
dindigul thalappakatti,hotel,10.9590008,78.0757663,0,50,13,1,4,2,70
karur tiffin centre,hotel,10.960503,78.0709315,0,45,18,2,3,1,69
ks mess,hotel,10.9596444,78.0736905,0,50,17,1,4,2,74
sri ganapathi mess,hotel,10.9678629,78.0616713,0,11,8,2,0,1,22
aasi tea stall,cafe,10.9676127,78.0624223,0,16,8,2,0,1,27
sri sakthi mess,hotel,10.9631479,78.0590545,0,10,9,2,0,1,22
thiruppathi mess,hotel,10.9664054,78.0516404,0,3,8,4,0,0,15
ganapathy mess,hotel,10.9665251,78.0513985,0,2,8,4,0,0,14
Kongu mess,restaurant,10.9637461,78.0483914,0,2,9,5,0,0,16
new karur biriyani corner,hotel,10.9638334,78.0487537,0,2,9,4,0,0,15
ganapathy mess,hotel,10.9638706,78.047431,0,2,9,5,0,0,16
shri mahalaxmi mess,hotel,10.9642789,78.0471522,0,2,9,4,0,0,15
mess,hotel,10.9637284,78.0469519,0,2,9,4,0,0,15
ATHIRASA KADAI,fast_food,10.963981,78.0456286,0,2,10,5,0,0,17
GOUNDAR MESS,hotel,10.963354,78.0426686,0,0,9,5,0,0,14
hotel M.S,hotel,10.9630897,78.0395375,0,0,4,3,0,0,7
bishmi hotel,hotel,10.9626788,78.0390524,0,0,4,3,0,0,7
jegan,hotel,11.0745341,78.0090448,0,0,11,3,0,0,14
G V N hotel,hotel,11.0752321,78.0079304,0,0,11,3,0,0,14
parotta shop,hotel,11.0746392,78.002077,0,0,11,3,0,0,14
jill jill jigarthanda,fast_food,11.0749968,78.0018767,0,0,11,3,0,0,14
welcome tea stall,cafe,11.0751303,78.0015573,0,0,11,3,0,0,14
sadhana tiffin stall,hotel,10.9405458,78.0911902,0,1,3,3,0,0,7
Amirtham Restaurent,restaurant,10.9716162,78.0949518,0,0,0,0,0,0,0
Tandoori Tribes,restaurant,10.9474655,78.1040419,0,1,0,0,0,0,1
11 to 11,hotel,11.0121979,78.0677181,0,0,0,0,0,0,0
Sumathy Restaurant,restaurant,10.8869306,78.0122616,0,0,0,0,0,0,0
Atchyaa Bakery & Hotel,restaurant,10.6905585,77.9293553,0,0,0,0,0,0,0
ஹோட்டல் அக்ஷயா வெஜ்,restaurant,10.7758778,77.9192604,0,0,0,0,0,0,0
