business_name,category,latitude,longitude,healthcare_1km,education_1km,commercial_1km,financial_1km,transport_1km,business_activity_1km,total_demand_signals
The Residency,hotel,10.9612502,78.0642685,24,1,12,3,0,2,42
Hotel Ammaiiyappar,restaurant,10.9244594,78.0483319,0,0,0,0,0,0,0
Makkal Unavagam,restaurant,10.8519789,77.8472216,2,0,2,2,1,0,7
Hotel Jai Krishna,restaurant,10.6991807,77.9324029,0,0,0,0,0,0,0
HOTEL KARUPPANNA,restaurant,11.0518609,77.9241658,0,1,5,1,0,0,7
Archana Hotel,hotel,10.961041,78.0859736,14,3,3,1,5,1,27
Madhura Mess,fast_food,10.960216,78.0787331,41,3,12,1,7,2,66
Adyar Ananda Bhavan,restaurant,10.9594305,78.0764812,50,2,13,1,4,2,72
Hotel SSS,restaurant,10.9291561,78.055229,0,0,0,0,0,0,0
Annai Mess,restaurant,10.9288941,78.0547191,0,0,0,0,0,0,0
Hotel Hemala,hotel,10.9611393,78.0827623,30,3,8,1,8,1,51
muthu mess,hotel,10.9626193,78.0614777,20,1,9,2,0,1,33
junior kuppanna,hotel,10.9549813,78.0598726,7,1,7,2,0,1,18
karthick mess,hotel,10.9508614,78.058939,0,1,2,1,0,0,4
dindigul velu briyani,hotel,10.9611864,78.0667735,36,1,15,2,3,2,59
dindigul thalappakatti,hotel,10.9590008,78.0757663,50,2,13,1,4,2,72
karur tiffin centre,hotel,10.960503,78.0709315,45,1,18,2,3,1,70
ks mess,hotel,10.9596444,78.0736905,50,2,17,1,4,2,76
sri ganapathi mess,hotel,10.9678629,78.0616713,11,0,8,2,0,1,22
aasi tea stall,cafe,10.9676127,78.0624223,16,0,8,2,0,1,27
sri sakthi mess,hotel,10.9631479,78.0590545,11,1,9,2,0,1,24
thiruppathi mess,hotel,10.9664054,78.0516404,5,0,8,4,0,0,17
ganapathy mess,hotel,10.9665251,78.0513985,4,0,8,4,0,0,16
Kongu mess,restaurant,10.9637461,78.0483914,4,1,9,5,0,0,19
new karur biriyani corner,hotel,10.9638334,78.0487537,4,1,9,4,0,0,18
ganapathy mess,hotel,10.9638706,78.047431,4,1,9,5,0,0,19
shri mahalaxmi mess,hotel,10.9642789,78.0471522,4,1,9,4,0,0,18
mess,hotel,10.9637284,78.0469519,4,1,9,4,0,0,18
ATHIRASA KADAI,fast_food,10.963981,78.0456286,4,1,10,5,0,0,20
GOUNDAR MESS,hotel,10.963354,78.0426686,1,1,9,5,0,0,16
hotel M.S,hotel,10.9630897,78.0395375,0,1,4,3,0,0,8
bishmi hotel,hotel,10.9626788,78.0390524,0,1,4,3,0,0,8
jegan,hotel,11.0745341,78.0090448,1,0,11,3,0,0,15
G V N hotel,hotel,11.0752321,78.0079304,1,0,11,3,0,0,15
parotta shop,hotel,11.0746392,78.002077,1,0,11,3,0,0,15
jill jill jigarthanda,fast_food,11.0749968,78.0018767,1,0,11,3,0,0,15
welcome tea stall,cafe,11.0751303,78.0015573,1,0,11,3,0,0,15
sadhana tiffin stall,hotel,10.9405458,78.0911902,5,0,3,3,0,0,11
Amirtham Restaurent,restaurant,10.9716162,78.0949518,0,0,0,0,0,0,0
Tandoori Tribes,restaurant,10.9474655,78.1040419,1,0,0,0,0,0,1
11 to 11,hotel,11.0121979,78.0677181,0,0,0,0,0,0,0
Sumathy Restaurant,restaurant,10.8869306,78.0122616,0,0,0,0,0,0,0
Atchyaa Bakery & Hotel,restaurant,10.6905585,77.9293553,0,0,0,0,0,0,0
ஹோட்டல் அக்ஷயா வெஜ்,restaurant,10.7758778,77.9192604,0,0,0,0,0,0,0
