business_name,category,latitude,longitude,cuisine,phone,street,postcode,opening_hours,website,vegetarian,rooms,source,hotel_competitors_1km,restaurant_competitors_1km,cafe_competitors_1km,fast_food_competitors_1km
The Residency,hotel,10.9612502,78.0642685,,,,,,,,,OpenStreetMap,6,0,1,0
Hotel Ammaiiyappar,restaurant,10.9244594,78.0483319,indian,,,,,,,,OpenStreetMap,0,2,0,0
Makkal Unavagam,restaurant,10.8519789,77.8472216,indian,9443135150,Pollachi - Dharapuram - Mulanur - Karur Road,639202.0,Mo-Su 07:30-15:30,,,,OpenStreetMap,0,0,0,0
Hotel Jai Krishna,restaurant,10.6991807,77.9324029,,+91 96880 88072,,,,,yes,,OpenStreetMap,0,0,0,0
HOTEL KARUPPANNA,restaurant,11.0518609,77.9241658,,,,,,,,,OpenStreetMap,0,0,0,0
Archana Hotel,hotel,10.961041,78.0859736,,,,,,,,,OpenStreetMap,1,0,0,1
Madhura Mess,fast_food,10.960216,78.0787331,,,,,,,,,OpenStreetMap,5,1,0,0
Adyar Ananda Bhavan,restaurant,10.9594305,78.0764812,regional,+91 94868 96999,Jawahar Bazzar,639001.0,,https://aabsweets.com,only,,OpenStreetMap,4,0,0,1
Hotel SSS,restaurant,10.9291561,78.055229,,,,,,,,,OpenStreetMap,0,2,0,0
Annai Mess,restaurant,10.9288941,78.0547191,,,,,,,,,OpenStreetMap,0,2,0,0
Hotel Hemala,hotel,10.9611393,78.0827623,,+914324262922,Police Lane Street,639001.0,,https://www.hotelhemala.com/,,48.0,OpenStreetMap,2,1,0,1
muthu mess,hotel,10.9626193,78.0614777,,,,,,,,,OpenStreetMap,5,0,1,0
junior kuppanna,hotel,10.9549813,78.0598726,,,,,,,,,OpenStreetMap,4,0,0,0
karthick mess,hotel,10.9508614,78.058939,,,,,,,,,OpenStreetMap,1,0,0,0
dindigul velu briyani,hotel,10.9611864,78.0667735,,,,,,,,,OpenStreetMap,6,0,1,0
dindigul thalappakatti,hotel,10.9590008,78.0757663,,,,,,,,,OpenStreetMap,3,1,0,1
karur tiffin centre,hotel,10.960503,78.0709315,,,,,,,,,OpenStreetMap,4,1,0,1
ks mess,hotel,10.9596444,78.0736905,,,,,,,,,OpenStreetMap,3,1,0,1
sri ganapathi mess,hotel,10.9678629,78.0616713,,,,,,,,,OpenStreetMap,4,0,1,0
aasi tea stall,cafe,10.9676127,78.0624223,,,,,,,,,OpenStreetMap,5,0,0,0
sri sakthi mess,hotel,10.9631479,78.0590545,,,,,,,,,OpenStreetMap,7,0,1,0
thiruppathi mess,hotel,10.9664054,78.0516404,,,,,,,,,OpenStreetMap,6,1,0,1
ganapathy mess,hotel,10.9665251,78.0513985,,,,,,,,,OpenStreetMap,6,1,0,1
Kongu mess,restaurant,10.9637461,78.0483914,,,,639008.0,,,,,OpenStreetMap,8,0,0,1
new karur biriyani corner,hotel,10.9638334,78.0487537,,,,,,,,,OpenStreetMap,6,1,0,1
ganapathy mess,hotel,10.9638706,78.047431,,,,,,,,,OpenStreetMap,8,1,0,1
shri mahalaxmi mess,hotel,10.9642789,78.0471522,,,,,,,,,OpenStreetMap,8,1,0,1
mess,hotel,10.9637284,78.0469519,,,,,,,,,OpenStreetMap,8,1,0,1
ATHIRASA KADAI,fast_food,10.963981,78.0456286,,,,,,,,,OpenStreetMap,9,1,0,0
GOUNDAR MESS,hotel,10.963354,78.0426686,,,,,,,,,OpenStreetMap,6,1,0,1
hotel M.S,hotel,10.9630897,78.0395375,,,,,,,,,OpenStreetMap,5,1,0,1
bishmi hotel,hotel,10.9626788,78.0390524,,,,,,,,,OpenStreetMap,5,0,0,1
jegan,hotel,11.0745341,78.0090448,,,,,,,,,OpenStreetMap,2,0,1,1
G V N hotel,hotel,11.0752321,78.0079304,,,,,,,,,OpenStreetMap,2,0,1,1
parotta shop,hotel,11.0746392,78.002077,,,,,,,,,OpenStreetMap,2,0,1,1
jill jill jigarthanda,fast_food,11.0749968,78.0018767,juice,,,,,,,,OpenStreetMap,3,0,1,0
welcome tea stall,cafe,11.0751303,78.0015573,,,,,,,,,OpenStreetMap,3,0,0,1
sadhana tiffin stall,hotel,10.9405458,78.0911902,,,,,,,,,OpenStreetMap,0,0,0,0
Amirtham Restaurent,restaurant,10.9716162,78.0949518,,,,,,,,,OpenStreetMap,0,0,0,0
Tandoori Tribes,restaurant,10.9474655,78.1040419,,,,,,,,,OpenStreetMap,0,0,0,0
11 to 11,hotel,11.0121979,78.0677181,,,,,,,,,OpenStreetMap,0,0,0,0
Sumathy Restaurant,restaurant,10.8869306,78.0122616,,,,,,,yes,,OpenStreetMap,0,0,0,0
Atchyaa Bakery & Hotel,restaurant,10.6905585,77.9293553,indian,,,,,,,,OpenStreetMap,0,0,0,0
ஹோட்டல் அக்ஷயா வெஜ்,restaurant,10.7758778,77.9192604,indian,096552 44577,"NH-7 bye pass, Salem - Madurai Rd, Aravakurichi, Tamil Nadu 639201",639201.0,Mo-Su 07:00-23:00,,yes,,OpenStreetMap,0,0,0,0
