element,id,geometry,amenity,diet:vegetarian,name:en,phone,check_date,cuisine,name,name:ta,source,toilets,addr:postcode,addr:street,check_date:opening_hours,level,opening_hours,self_service,designation,tourism,operator,addr:city,alt_name,brand,brand:wikidata,brand:wikipedia,shop,smoking,website,addr:housenumber,email,internet_access,internet_access:ssid,rooms,addr:district,air_conditioning,delivery,indoor_seating,building
node,1930126696,POINT (78.0642685 10.9612502),,,,,,,The Residency,,,,,,,,,,The Residency,hotel,,,,,,,,,,,,,,,,,,,
node,3268367601,POINT (78.0483319 10.9244594),restaurant,,,,,indian,Hotel Ammaiiyappar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4161475491,POINT (77.8472216 10.8519789),restaurant,,,9443135150,,indian,Makkal Unavagam,,,,639202,Pollachi - Dharapuram - Mulanur - Karur Road,,,Mo-Su 07:30-15:30,,,,Murugavel,,,,,,,,,,,,,,,,,,
node,4432035989,POINT (77.9324029 10.6991807),restaurant,yes,Hotel Jai Krishna,+91 96880 88072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4535189243,POINT (77.9241658 11.0518609),restaurant,,HOTEL KARUPPANNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4552266415,POINT (78.0859736 10.961041),,,Archana Hotel,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,4552266416,POINT (78.0787331 10.960216),fast_food,,Madhura Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4799120031,POINT (78.0764812 10.9594305),restaurant,only,,+91 94868 96999,,regional,Adyar Ananda Bhavan,,,,639001,Jawahar Bazzar,,,,,,,Adyar Ananda Bhavan,Karur,A2B,Adyar Ananda Bhavan,Q15178238,en:Adyar Ananda Bhavan,confectionery,no,https://aabsweets.com,,,,,,,,,,
node,4878937223,POINT (78.055229 10.9291561),restaurant,,,,,,Hotel SSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4878937224,POINT (78.0548366 10.9293361),cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4878937225,POINT (78.0547191 10.9288941),restaurant,,,,,,Annai Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4878937226,POINT (78.0546009 10.9289285),restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5274826829,POINT (78.0827623 10.9611393),,,,+914324262922,,,Hotel Hemala,,,,639001,Police Lane Street,,,,,,hotel,Hotel Hemala,Karur,,,,,,outside,https://www.hotelhemala.com/,9,reservations@hotelhemala.com,yes,Hotel-Hemala,48,,,,,
node,8097094151,POINT (78.0614777 10.9626193),,,,,,,muthu mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8097145941,POINT (78.0598726 10.9549813),,,,,,,junior kuppanna,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8097187817,POINT (78.058939 10.9508614),,,,,,,karthick mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8097210140,POINT (78.0667735 10.9611864),,,,,,,dindigul velu briyani,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8097210383,POINT (78.0757663 10.9590008),,,,,,,dindigul thalappakatti,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8097211113,POINT (78.0709315 10.960503),,,,,,,karur tiffin centre,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8097219024,POINT (78.0736905 10.9596444),,,,,,,ks mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
node,8107748790,POINT (78.0616713 10.9678629),,,,,,,sri ganapathi mess,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,
